Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
01-06-2025,GE,171.5,175.57,177.16,170.07,8209691,1.86E+11,30.06,0.41,5.84,194.8,114.65,Industrials
01-06-2025,GILD,79.59,79.6,80.61,78.96,2509653,94525000000,16.46,4.11,4.84,98.94,62.16,Healthcare
01-06-2025,GOOGL,175.92,173.56,177.82,171.2,79493299,2.07E+12,27.84,0,6.23,232.83,144.03,Communication Services
01-06-2025,GS,457.99,469.09,471.92,454.42,2514236,1.58E+11,12.52,2.2,37.47,525.79,425.27,Financials
01-06-2025,HD,377.18,369.95,378.37,365.19,34920614,3.85E+11,23.14,2.36,15.99,471.98,305.16,Consumer Discretionary
01-06-2025,HON,217.25,219.24,222.1,215.32,10890691,1.48E+11,24.21,2.2,9.06,293.1,191.94,Industrials
01-06-2025,IBM,186.67,184.32,187.4,182.15,10304044,1.65E+11,22.89,3.49,8.05,240.24,156.1,Technology
01-06-2025,INTC,32.42,31.38,32.84,31.25,13934407,1.21E+11,20.13,1.55,1.56,38.1,20.55,Technology
01-06-2025,INTU,672.27,653.96,676.65,647.87,14178381,1.76E+11,67.29,0.59,9.72,750.54,556.15,Technology
01-06-2025,ISRG,450.23,451.65,456.82,447.18,8572033,1.52E+11,56.6,0,7.98,565.13,299.78,Healthcare
01-06-2025,JNJ,164.64,166.89,169.28,162.98,20035035,4.21E+11,17.29,2.6,9.65,219.29,108.78,Healthcare
01-06-2025,JPM,207.75,211.91,213.68,206.93,29302227,5.92E+11,12.68,2.26,16.71,271.36,153.49,Financials
01-06-2025,KO,69.69,70.26,70.71,68.69,18110190,3.06E+11,25.27,2.78,2.78,77.91,54.51,Consumer Staples
01-06-2025,LLY,964.42,970.7,972.94,955.51,8595495,8.69E+11,44.69,1.23,21.72,1089.75,654.37,Healthcare
01-06-2025,LMT,487.43,484.23,489.09,479.17,10255835,1.16E+11,19.34,2.36,25.04,612.22,367.69,Industrials
01-06-2025,LOW,253.18,248.55,256.24,245.36,3748378,1.57E+11,22.67,1.87,10.96,268.66,205.2,Consumer Discretionary
01-06-2025,MA,469.91,480.99,485.45,466.17,22430716,4.51E+11,36.76,0.48,13.08,633.64,416.95,Financials
01-06-2025,MDLZ,71.04,72.19,73.07,70.61,10820982,92676351351,20.66,2.08,3.49,85.92,48.63,Consumer Staples
01-06-2025,MDT,93.41,94.36,94.95,93.08,13707957,1.21E+11,14.69,3.5,6.42,121.44,72.21,Healthcare
01-06-2025,META,517.09,522.61,524.82,512.93,35272628,1.45E+12,23.54,0.4,22.2,604.86,374,Communication Services
01-06-2025,MMC,213.99,219.32,221.47,210.94,8908205,1.07E+11,24.27,1.68,9.04,257.19,195.85,Financials
01-06-2025,MRK,134.91,133.74,135.59,132.01,29700176,3.29E+11,16.22,2.9,8.25,163.43,112.09,Healthcare
01-06-2025,MS,99.67,97.4,101.06,96.91,4834802,1.61E+11,13.46,3.1,7.24,118.33,80.92,Financials
01-06-2025,MSFT,431.7,441.16,446.85,428.25,77372967,3.14E+12,32.59,0.7,13.54,588.01,368.7,Technology
01-06-2025,NEE,81.08,80.07,81.7,79.82,11434186,1.65E+11,24.33,2.6,3.29,86.8,53.15,Utilities
01-06-2025,NFLX,677.17,679.2,685.01,673.5,28093692,2.82E+11,36.49,0,18.61,781.79,494.42,Communication Services
01-06-2025,NKE,93.76,93.02,94.68,92.28,2147750,1.40E+11,24.53,1.02,3.79,122.49,79.73,Consumer Discretionary
01-06-2025,NOW,825.88,845.11,847.43,817.5,12153573,1.74E+11,90.39,0,9.35,982.61,689.73,Technology
01-06-2025,NVDA,504.66,492.74,509.35,489.9,84028190,2.76E+12,49.22,0,10.01,533.23,417.97,Technology
01-06-2025,ORCL,144.9,147.37,148.63,142.88,30265273,4.20E+11,26.41,1,5.58,180.73,99.87,Technology
01-06-2025,PEP,171.3,173.46,174.39,169.26,27450578,2.26E+11,22.6,2.6,7.68,187.98,158.58,Consumer Staples
01-06-2025,PFE,30.26,30.18,30.68,29.87,8008480,1.61E+11,11.26,5.37,2.68,35.12,25.77,Healthcare
01-06-2025,PG,169.51,173.06,175.18,168.96,8337371,3.91E+11,24.29,2.32,7.12,212.94,129.73,Consumer Staples
01-06-2025,PLD,128.63,131.68,132.14,127.41,8744592,1.27E+11,37.72,2.72,3.49,157.57,117.3,Real Estate
01-06-2025,PM,110.24,112.96,114.4,109.22,5534192,1.69E+11,16.74,4.61,6.75,145.6,103.34,Consumer Staples
01-06-2025,PYPL,73.15,71.94,73.93,71.41,5369128,77078571429,17.64,0,4.08,90.18,64.12,Financials
01-06-2025,QCOM,221.03,217.39,222.78,214.91,9868308,2.28E+11,16.43,1.65,13.23,253.11,155.28,Technology
01-06-2025,REGN,1076.16,1077.23,1086.22,1073.03,8447355,1.13E+11,17.5,0,61.56,1340.5,783.6,Healthcare
01-06-2025,RTX,112.73,111.68,113.42,110.58,13559435,1.47E+11,18.3,2.28,6.1,140.42,73.63,Industrials
01-06-2025,SCHW,80.72,82.43,83.36,80.55,5105012,1.39E+11,16.83,1.26,4.9,108.46,61.07,Financials
01-06-2025,SO,82.6,83.41,84.41,81.65,3337025,86353882353,16.72,3.63,4.99,109.48,70,Utilities
01-06-2025,SPGI,461.73,463.76,466.74,457.95,7446317,1.46E+11,36.35,0.75,12.76,620.69,394.93,Financials
01-06-2025,SYK,369.77,361.48,373.99,360.36,5615433,1.32E+11,35.29,0.91,10.24,443.42,293.49,Healthcare
01-06-2025,T,21.15,20.71,21.37,20.66,9111806,1.33E+11,7,7.63,2.96,23.27,15.44,Communication Services
01-06-2025,TJX,115.05,116.28,116.73,114.49,12407606,1.31E+11,23.64,1.32,4.92,129.48,92.53,Consumer Discretionary
01-06-2025,TMO,564.26,558.18,570.77,550.21,24689729,2.12E+11,29.89,0.28,18.67,690.82,370.89,Healthcare
01-06-2025,TSLA,260.09,261.28,263.41,257.91,15697711,8.54E+11,51.53,0,5.07,338.9,171.12,Consumer Discretionary
01-06-2025,TXN,199.07,194.77,200.36,193.15,4263169,1.76E+11,25.93,2.59,7.51,245.46,163.83,Technology
01-06-2025,UBER,77.21,78.68,79.73,76.43,12607410,1.52E+11,25.38,0,3.1,92.59,58.77,Technology
01-06-2025,UNH,581.69,584.91,592.65,576.23,10477754,5.36E+11,26.86,1.26,21.78,761.6,512.14,Healthcare
01-06-2025,UNP,248.39,248.6,250.46,244.96,3669287,1.51E+11,18.97,2.13,13.1,302.38,161.82,Industrials
01-06-2025,UPS,146.36,143.79,146.89,142.41,11081120,1.16E+11,15.76,2.91,9.12,155.6,95.24,Industrials
01-06-2025,V,302.74,300.87,306.57,296.64,32458942,6.02E+11,36.11,0.64,8.33,345.71,208.46,Financials
01-06-2025,VRTX,481.05,480.43,485.86,478.48,9797211,1.25E+11,29.07,0,16.53,597.82,434.75,Healthcare
01-06-2025,VZ,44.88,44.4,45.49,43.9,12925688,1.73E+11,10.06,6.25,4.41,56.05,34.52,Communication Services
01-06-2025,WMT,74.11,75,76,73.54,34759772,5.87E+11,29.37,1.09,2.55,81.3,66.33,Consumer Staples
01-06-2025,XOM,116.17,119.92,120.41,114.78,26302418,4.70E+11,13.12,2.98,9.14,147.45,81.63,Energy
01-06-2025,ZTS,152.4,154.17,154.81,150.75,9145529,69890400000,26.05,0.67,5.92,169.58,110.79,Healthcare
02-06-2025,AAPL,211.57,213.07,214.91,210.1,49806398,3.33E+12,25.98,0.51,8.2,258.68,176.02,Technology
02-06-2025,ABBV,180.92,178.36,182.3,175.95,10221447,3.03E+11,18.39,3.2,9.7,235.16,117.65,Healthcare
02-06-2025,ABT,121.17,120.29,122.31,118.72,10713450,2.00E+11,20.78,1.65,5.79,155.17,90.88,Healthcare
02-06-2025,ADBE,590.85,586.92,594.53,579.87,30229967,2.54E+11,47.24,0,12.42,681.12,494.61,Technology
02-06-2025,ADP,256.25,255.41,259.4,251.68,9281964,1.05E+11,26.92,2.17,9.49,319.98,230.51,Financials
02-06-2025,AMD,162.09,162.23,163.81,160.64,12424597,2.46E+11,45.62,0,3.56,203.7,126.93,Technology
02-06-2025,AMGN,301.69,299.36,306.02,295.08,14377793,1.52E+11,15.2,2.83,19.69,338.45,219.11,Healthcare
02-06-2025,AMT,214.02,219.02,220.84,211.41,12112166,1.01E+11,26.75,2.34,8.19,268.51,164.5,Real Estate
02-06-2025,AMZN,180.79,182.45,185,178.93,68129422,1.88E+12,38.47,0,4.74,243.23,153.92,Consumer Discretionary
02-06-2025,AVGO,1749.61,1792.9,1798.69,1736.94,31169077,8.23E+11,32.42,1.79,55.3,2134.42,1279.97,Technology
02-06-2025,BAC,45.46,45.11,45.56,44.58,11744179,3.36E+11,16.44,2.3,2.74,54.87,30.18,Financials
02-06-2025,BKNG,3816.79,3773.39,3864.98,3749.99,12933753,1.36E+11,21.97,0,171.75,4839.4,3398.7,Consumer Discretionary
02-06-2025,BLK,884.03,889.48,901.69,877.37,7907280,1.37E+11,21.49,2.48,41.39,1102.22,719.26,Financials
02-06-2025,BMY,54.61,53.96,54.88,53.34,10111782,1.03E+11,9.59,4.94,5.63,64.83,42.38,Healthcare
02-06-2025,BRK.B,444.59,447.51,450.14,440.54,29553809,9.26E+11,17.24,0,25.96,549.42,382.36,Financials
02-06-2025,C,63.98,64.97,65.42,63.6,10258151,1.25E+11,12.14,3.67,5.35,86.94,57.43,Financials
02-06-2025,CAT,370.22,366.4,374.13,361.62,6771561,1.91E+11,14.97,1.99,24.48,408.33,301.74,Industrials
02-06-2025,CB,241.21,243.54,244.25,240.29,10793306,94433877551,13.6,1.78,17.91,326.89,210.98,Financials
02-06-2025,COST,850.46,847.47,853.12,837.73,22872814,3.68E+11,47.88,0.46,17.7,1112.74,760.18,Consumer Staples
02-06-2025,CRM,282.18,291.01,291.74,278.91,14744522,2.75E+11,35.14,0,8.28,351.51,260.33,Technology
02-06-2025,CVX,159.41,160.74,162.7,157.74,26367622,2.87E+11,13.39,3.2,12,182.47,110.34,Energy
02-06-2025,DIS,114.01,113.84,114.88,113.13,5822695,1.96E+11,30.29,0,3.76,131.14,99.22,Communication Services
02-06-2025,DUK,110.87,109.33,111.33,108.5,6455388,81500545455,18.42,3.76,5.94,138.26,86.79,Utilities
02-06-2025,ELV,540.59,549.27,552.77,533.68,12308507,1.24E+11,14.48,0.99,37.93,674.93,486.07,Healthcare
02-06-2025,GE,176.9,175.72,177.7,173.38,11294838,1.86E+11,31.56,0.41,5.57,232.96,128.82,Industrials
02-06-2025,GILD,81.3,80.16,81.91,79.77,9704061,95190000000,18.84,3.93,4.25,95.68,52.22,Healthcare
02-06-2025,GOOGL,174.99,177.52,178.65,174.15,47733268,2.11E+12,24.52,0,7.24,227.57,116.61,Communication Services
02-06-2025,GS,454.42,463.17,464.17,447.95,4971440,1.56E+11,12.63,2.04,36.67,577.8,336.87,Financials
02-06-2025,HD,356.46,353.67,360.89,351.26,13085232,3.68E+11,26.56,2.29,13.32,386.21,234.14,Consumer Discretionary
02-06-2025,HON,212.25,207.29,213.12,206.01,10640742,1.40E+11,29.01,2.06,7.15,252.87,151.1,Industrials
02-06-2025,IBM,190.11,190.43,190.97,189,6369000,1.71E+11,23.04,3.35,8.27,211.5,127.8,Technology
02-06-2025,INTC,37.63,37.9,38.03,37.37,9178038,1.46E+11,20.54,1.48,1.85,43.02,25.82,Technology
02-06-2025,INTU,625.61,608.75,629.8,607.22,12251501,1.64E+11,70.95,0.57,8.58,773.95,449.44,Technology
02-06-2025,ISRG,464.64,465.84,468.48,461.41,2518306,1.57E+11,45.23,0,10.3,563.86,305.23,Healthcare
02-06-2025,JNJ,169.01,173.12,174.7,168.48,15785361,4.37E+11,14.62,2.56,11.84,218.6,138.11,Healthcare
02-06-2025,JPM,219.3,221.57,222.1,217.92,12378814,6.19E+11,14.21,2.26,15.59,271.17,200.64,Financials
02-06-2025,KO,66.13,64.99,66.62,64.14,32317406,2.83E+11,26.73,2.9,2.43,86.34,42.88,Consumer Staples
02-06-2025,LLY,930.6,923.36,938.81,910.94,31368927,8.26E+11,48.65,1.32,18.98,1191.15,829,Healthcare
02-06-2025,LMT,476.85,467.96,478.57,462.63,9062486,1.12E+11,16.13,2.43,29.01,507.37,326.5,Industrials
02-06-2025,LOW,244.91,239.53,247.25,237.1,11624658,1.52E+11,18.72,1.91,12.8,303.91,196.15,Consumer Discretionary
02-06-2025,MA,480.02,483.06,486.31,476.93,28717718,4.53E+11,37.81,0.51,12.78,636.13,391.28,Financials
02-06-2025,MDLZ,76.29,77.34,78,75.48,6836406,99287837838,18.43,2.4,4.2,103.16,52.02,Consumer Staples
02-06-2025,MDT,94.49,96.43,97.47,94,6972608,1.23E+11,17.08,3.02,5.65,106.87,69.96,Healthcare
02-06-2025,META,486.81,484.88,493.4,480.82,49653483,1.34E+12,22.93,0.42,21.15,591.02,373.74,Communication Services
02-06-2025,MMC,215.66,218.49,218.96,215.18,8837937,1.07E+11,20.86,1.77,10.47,237.75,188.93,Financials
02-06-2025,MRK,130.51,130.73,131.8,128.72,11518814,3.22E+11,17.92,2.61,7.3,156.87,118.44,Healthcare
02-06-2025,MS,101.31,103.06,103.46,100.21,3810577,1.70E+11,11.37,3.35,9.06,133.75,94.69,Financials
02-06-2025,MSFT,417.25,419.88,425.47,412.92,72440059,2.99E+12,32.3,0.65,13,500.2,316.72,Technology
02-06-2025,NEE,81.53,82.35,82.55,81.18,6865876,1.70E+11,22.88,2.57,3.6,106.56,59.16,Utilities
02-06-2025,NFLX,686.62,701.85,707.02,682.54,11264375,2.91E+11,36.75,0,19.1,810.87,569.14,Communication Services
02-06-2025,NKE,85.2,84.91,85.42,84.02,5052102,1.27E+11,27.65,1.06,3.07,106.62,76.18,Consumer Discretionary
02-06-2025,NOW,871.56,878.67,880.85,863.58,8663561,1.81E+11,94.5,0,9.3,1176.93,640.95,Technology
02-06-2025,NVDA,513.19,524.4,528.56,509.96,52105765,2.94E+12,45.64,0,11.49,610.14,397.34,Technology
02-06-2025,ORCL,149.99,152.26,153.22,149.68,13956317,4.34E+11,25.29,1.14,6.02,197.84,117.35,Technology
02-06-2025,PEP,173.8,171.15,176.31,169.56,9923271,2.23E+11,26.97,2.73,6.35,216.59,116.21,Consumer Staples
02-06-2025,PFE,31.81,31.75,32.04,31.45,14532444,1.69E+11,10.83,6.03,2.93,38.62,25.79,Healthcare
02-06-2025,PG,177.83,176.03,179.58,175.08,12601875,3.98E+11,28.45,2.34,6.19,237.26,151.29,Consumer Staples
02-06-2025,PLD,132.4,131.22,132.69,129.73,10109232,1.26E+11,33.18,2.77,3.95,172.6,109.26,Real Estate
02-06-2025,PM,107.5,104.82,108.27,104.22,3768183,1.57E+11,15.4,4.54,6.81,115.73,86.69,Consumer Staples
02-06-2025,PYPL,70.28,71.95,72.48,70.05,11668228,77089285714,18.7,0,3.85,95.06,58.26,Financials
02-06-2025,QCOM,221.12,221.06,222.43,219.53,19096708,2.31E+11,16.54,1.89,13.37,257.7,150.23,Technology
02-06-2025,REGN,1137.47,1142.37,1150.39,1134.16,8059809,1.19E+11,18.03,0,63.36,1270.47,810.63,Healthcare
02-06-2025,RTX,118.4,118.38,119.41,117.25,13491575,1.56E+11,18.91,2.53,6.26,131.72,82.8,Industrials
02-06-2025,SCHW,81.91,81.16,82.42,80.88,9120306,1.37E+11,19.25,1.29,4.22,95.58,70.4,Financials
02-06-2025,SO,84.93,84.94,85.93,83.9,4930596,87937882353,15.66,3.55,5.42,96.08,72.38,Utilities
02-06-2025,SPGI,445.48,455.14,460.02,442.49,11348990,1.43E+11,40.94,0.83,11.12,501.58,315.12,Financials
02-06-2025,SYK,371.97,371.96,376.43,369.39,7176694,1.36E+11,31.15,0.88,11.94,464.72,258.12,Healthcare
02-06-2025,T,19.4,19.56,19.66,19.13,9263892,1.26E+11,7.69,7.72,2.54,23.27,16.33,Communication Services
02-06-2025,TJX,124.47,125.26,126.78,124.16,10272725,1.41E+11,26.42,1.2,4.74,161.63,99,Consumer Discretionary
02-06-2025,TMO,568.63,561.96,573.61,554.4,22984062,2.13E+11,31.41,0.31,17.89,671.81,448.59,Healthcare
02-06-2025,TSLA,269.85,274.32,278.24,267.6,21053620,8.97E+11,59.19,0,4.63,311.33,236.2,Consumer Discretionary
02-06-2025,TXN,202.64,198.1,204.41,196.53,7399600,1.79E+11,24.32,2.56,8.15,239.32,140.4,Technology
02-06-2025,UBER,71.74,72.5,73.57,71.6,11170446,1.40E+11,27.73,0,2.61,96.55,51.64,Technology
02-06-2025,UNH,601.23,611.06,618.39,592.67,20231714,5.60E+11,23.16,1.16,26.38,710.29,434.86,Healthcare
02-06-2025,UNP,264.87,271.38,271.96,264.33,4642635,1.65E+11,23.89,2.19,11.36,364.51,205.35,Industrials
02-06-2025,UPS,146.76,146.32,148.49,145.08,11919051,1.18E+11,14.41,2.96,10.15,177.55,112.64,Industrials
02-06-2025,V,302.62,310.05,314.23,299.09,19990775,6.20E+11,27.29,0.67,11.36,370.56,242.67,Financials
02-06-2025,VRTX,499.67,511.45,512.95,492.43,12178198,1.33E+11,29.06,0,17.6,676.04,352.04,Healthcare
02-06-2025,VZ,47.31,47.18,47.89,46.9,6352600,1.83E+11,9.47,6.76,4.98,60.75,31.15,Communication Services
02-06-2025,WMT,74.44,76.15,76.67,73.74,25549136,5.96E+11,30.76,1.22,2.48,83.15,51.71,Consumer Staples
02-06-2025,XOM,123.82,125.14,125.54,122.5,23918699,4.90E+11,15.51,3.15,8.07,137.98,86.5,Energy
02-06-2025,ZTS,150.53,147.2,151.76,146.91,5875635,66730666667,26.96,0.75,5.46,160.77,133.75,Healthcare
03-06-2025,AAPL,197.75,195.61,200.13,193.48,29588431,3.05E+12,30.35,0.52,6.45,233.17,159.61,Technology
03-06-2025,ABBV,188.41,189.29,190.4,186.62,29203832,3.22E+11,16.86,3.29,11.23,210.59,169.05,Healthcare
03-06-2025,ABT,120.52,118.38,121.97,117.26,9060609,1.97E+11,22.63,1.66,5.23,147.77,94.11,Healthcare
03-06-2025,ADBE,612.22,616.9,621.76,605.54,12056156,2.67E+11,43.08,0,14.32,725.96,418.95,Technology
03-06-2025,ADP,263.21,267.1,268.44,260.78,10446863,1.10E+11,30.06,2.17,8.89,294.8,221.49,Financials
03-06-2025,AMD,171.89,166.72,172.49,165.47,31441071,2.53E+11,47.97,0,3.48,200.58,139.2,Technology
03-06-2025,AMGN,312.13,313.29,315.3,308.14,3711981,1.59E+11,15.83,3.06,19.79,343.72,219.14,Healthcare
03-06-2025,AMT,210.88,211.09,214.21,209.73,3006189,97822195122,27.67,2.58,7.63,268.33,160.25,Real Estate
03-06-2025,AMZN,180.85,181.46,182.97,178.78,48061147,1.87E+12,33.16,0,5.47,237.73,121.83,Consumer Discretionary
03-06-2025,AVGO,1736.97,1775.2,1788.38,1716.24,13157036,8.15E+11,29.4,1.9,60.38,2136.42,1314.94,Technology
03-06-2025,BAC,41.01,40.34,41.54,39.83,9070309,3.00E+11,15.29,2,2.64,48.23,33.36,Financials
03-06-2025,BKNG,3764.1,3791.25,3836.28,3716.97,12311874,1.36E+11,21.35,0,177.58,5001.31,3099.13,Consumer Discretionary
03-06-2025,BLK,867.19,849.9,871.94,847.2,6638563,1.31E+11,21.34,2.39,39.83,930.07,586.36,Financials
03-06-2025,BMY,53.88,54.76,55.27,53.41,6786188,1.05E+11,9.82,4.82,5.58,69.31,44.15,Healthcare
03-06-2025,BRK.B,434.11,433.83,435.42,432.8,17158339,8.98E+11,20.66,0,21,524.99,386.82,Financials
03-06-2025,C,64.06,63.38,64.44,63.21,13717756,1.22E+11,10.64,3.43,5.96,83.56,55.99,Financials
03-06-2025,CAT,366.31,362.41,368.96,360.28,7138078,1.88E+11,16.14,1.9,22.45,475.5,298.52,Industrials
03-06-2025,CB,252.55,250.81,255.1,249.25,2714930,97252857143,12.18,1.9,20.59,332.52,206.99,Financials
03-06-2025,COST,884.5,896.86,903.54,882.64,30005727,3.89E+11,36.69,0.5,24.44,992.11,703.24,Consumer Staples
03-06-2025,CRM,280.32,284.01,286.41,277.07,32731285,2.69E+11,35.36,0,8.03,350.52,221.17,Technology
03-06-2025,CVX,167.27,164.72,168.82,163.57,34565546,2.94E+11,14.45,2.82,11.4,217.85,146.39,Energy
03-06-2025,DIS,110.71,109.9,111.32,108.53,2849838,1.90E+11,33.74,0,3.26,146.98,91.21,Communication Services
03-06-2025,DUK,108.81,109.84,110.88,107.49,11442469,81880727273,16.82,3.66,6.53,135.11,97.69,Utilities
03-06-2025,ELV,542.94,550.26,555.53,540.02,2105304,1.24E+11,15.98,1.06,34.43,682.14,438.05,Healthcare
03-06-2025,GE,168.43,168.33,170.35,167.22,14625672,1.78E+11,30.52,0.43,5.52,224.74,144.8,Industrials
03-06-2025,GILD,81.09,80.03,81.74,79.34,4537034,95035625000,16.88,3.79,4.74,107.65,60.36,Healthcare
03-06-2025,GOOGL,178.55,174.17,180.67,172.97,88379863,2.07E+12,24.79,0,7.03,194.96,119.45,Communication Services
03-06-2025,GS,450.15,441.46,451.82,437.49,3629346,1.49E+11,13.77,2.21,32.06,592.97,311.06,Financials
03-06-2025,HD,357.1,353.95,360.79,349.24,25791221,3.68E+11,23.11,2.52,15.32,420.96,302.78,Consumer Discretionary
03-06-2025,HON,211.37,214.81,215.49,209.31,11537550,1.45E+11,22.49,2.19,9.55,237.44,165.52,Industrials
03-06-2025,IBM,187.87,183.08,189.01,180.34,3093176,1.64E+11,25.26,3.35,7.25,198.39,142.17,Technology
03-06-2025,INTC,36.03,34.81,36.33,34.41,11827648,1.34E+11,18.07,1.57,1.93,46.49,23.57,Technology
03-06-2025,INTU,658.62,674.34,680.44,657.03,14623000,1.82E+11,58.68,0.6,11.49,888.22,521.52,Technology
03-06-2025,ISRG,449.36,453.2,455.47,446.47,7333795,1.53E+11,54.12,0,8.37,527.39,316.37,Healthcare
03-06-2025,JNJ,166.16,166.34,166.99,165.11,25588891,4.20E+11,17.55,3,9.48,214.63,111.24,Healthcare
03-06-2025,JPM,202.08,198.47,204.36,197.82,31735928,5.55E+11,12.63,2.32,15.71,242.41,168.78,Financials
03-06-2025,KO,63.57,64.18,64.84,63.19,13763188,2.80E+11,26.8,2.88,2.39,82.98,46.37,Consumer Staples
03-06-2025,LLY,964.73,970.12,975.7,952.74,27605297,8.68E+11,53.41,1.3,18.16,1166.68,720.28,Healthcare
03-06-2025,LMT,472.83,478.23,483.63,471.75,13883037,1.15E+11,18.73,2.79,25.53,599.45,404.11,Industrials
03-06-2025,LOW,252.99,251.54,255.34,249.1,11093449,1.59E+11,23.78,1.9,10.58,285.24,174.76,Consumer Discretionary
03-06-2025,MA,480.55,490.35,492.6,474.38,23834202,4.60E+11,33.4,0.48,14.68,534.35,388.61,Financials
03-06-2025,MDLZ,70.02,71.01,71.84,69.73,10802138,91161486486,18.32,2.01,3.88,95.68,49.65,Consumer Staples
03-06-2025,MDT,94.11,94.97,95.42,93.15,9558789,1.21E+11,14.82,3.16,6.41,109.63,76.63,Healthcare
03-06-2025,META,501.12,493.89,503.85,487.87,81618447,1.37E+12,20.75,0.37,23.8,664.14,434.21,Communication Services
03-06-2025,MMC,210.89,212.14,214,207.98,8725451,1.04E+11,27.09,1.88,7.83,271.48,146.28,Financials
03-06-2025,MRK,133.8,137.05,137.85,132.44,18255139,3.37E+11,17.68,2.44,7.75,160.29,92.71,Healthcare
03-06-2025,MS,103.63,104.88,105.46,102.63,11106678,1.73E+11,13.19,3.28,7.95,116.85,87.87,Financials
03-06-2025,MSFT,448.47,442.9,453.77,441.98,51716355,3.16E+12,33.56,0.77,13.2,503.26,320.38,Technology
03-06-2025,NEE,78.91,79.98,80.23,78.14,14640512,1.65E+11,21.43,2.59,3.73,99.93,62.76,Utilities
03-06-2025,NFLX,697.02,700.88,702.96,690.71,28471996,2.91E+11,43.65,0,16.06,770.58,532,Communication Services
03-06-2025,NKE,88.81,86.61,89.05,85.95,7380728,1.30E+11,29.43,1.03,2.94,112.95,63.61,Consumer Discretionary
03-06-2025,NOW,850.09,842.37,852.86,830.85,11812138,1.73E+11,92.48,0,9.11,950.42,734.75,Technology
03-06-2025,NVDA,503.88,518.74,524.38,498.75,31085573,2.90E+12,44.36,0,11.69,607.36,406.47,Technology
03-06-2025,ORCL,150.83,150.46,151.96,148.25,21842708,4.28E+11,22.22,1.13,6.77,196.54,98.66,Technology
03-06-2025,PEP,170.77,169.31,172.66,167.51,14060097,2.21E+11,25.28,2.44,6.7,207.46,131.57,Consumer Staples
